New Zealand, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1948      70.83   66.97   68.82
1949      70.74   67.27   68.95
1950      71.24   67.41   69.25
1951      71.44   66.98   69.13
1952      71.49   67.39   69.38
1953      72.70   67.92   70.21
1954      72.85   68.00   70.33
1955      72.99   68.13   70.48
1956      73.28   68.37   70.72
1957      73.02   67.71   70.25
1958      73.48   68.44   70.88
1959      73.39   68.33   70.77
1960      73.95   68.67   71.22
1961      73.67   68.37   70.93
1962      74.12   68.48   71.20
1963      74.23   68.52   71.27
1964      74.31   68.49   71.29
1965      74.31   68.33   71.21
1966      74.32   68.07   71.07
1967      74.67   68.41   71.44
1968      74.29   68.12   71.09
1969      74.75   68.41   71.47
1970      74.49   68.16   71.22
1971      74.99   68.66   71.72
1972      74.75   69.02   71.83
1973      75.14   68.44   71.68
1974      75.13   68.91   71.94
1975      75.55   69.03   72.20
1976      75.67   69.30   72.40
1977      75.58   68.89   72.14
1978      76.43   69.76   73.01
1979      76.48   69.81   73.05
1980      75.80   70.04   72.87
1981      76.89   70.49   73.63
1982      76.88   70.67   73.73
1983      76.94   70.81   73.83
1984      77.67   71.16   74.37
1985      76.84   70.98   73.87
1986      77.36   70.97   74.12
1987      77.15   71.31   74.21
1988      77.60   71.42   74.47
1989      77.99   71.82   74.89
1990      78.36   72.49   75.43
1991      78.85   73.26   76.08
1992      79.30   73.11   76.19
1993      79.19   73.76   76.50
1994      79.66   74.15   76.93
1995      79.48   74.07   76.80
1996      79.36   74.24   76.83
1997      80.08   74.62   77.37
1998      80.81   75.49   78.19
1999      80.40   75.43   77.96
2000      81.24   76.09   78.72
2001      81.03   76.31   78.72
2002      81.13   76.64   78.94
2003      81.41   76.94   79.22
2004      81.43   77.33   79.43
2005      82.20   77.96   80.14
2006      82.10   78.04   80.12
2007      82.26   78.15   80.24
2008      82.34   78.37   80.39
