Russia, Life expectancy at birth (period, 1x5)     Last modified: 03-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      72.69   64.03   69.04
1965-1969      73.43   63.87   69.28
1970-1974      73.64   63.19   68.96
1975-1979      73.15   61.95   67.95
1980-1984      73.23   61.81   67.80
1985-1989      74.08   64.20   69.45
1990-1994      72.99   60.87   66.87
1995-1999      72.47   59.88   65.97
2000-2004      72.09   58.77   65.09
2005-2009      73.67   60.96   67.14
